"product_category_name","avg_review_score","total_reviews"
livros_interesse_geral,4.47,1544
moveis_quarto,4.41,316
livros_tecnicos,4.38,720
livros_importados,4.37,172
construcao_ferramentas_ferramentas,4.36,292
portateis_casa_forno_e_cafe,4.33,220
malas_acessorios,4.32,3064
flores,4.29,84
alimentos,4.28,1360
alimentos_bebidas,4.26,800
pet_shop,4.25,5492
construcao_ferramentas_jardim,4.22,668
pcs,4.22,596
papelaria,4.22,7112
artes_e_artesanato,4.21,56
fashion_calcados,4.21,712
eletroportateis,4.20,2000
fashion_esporte,4.19,84
eletrodomesticos,4.19,2244
cine_foto,4.18,228
brinquedos,4.18,11540
perfumaria,4.16,9568
fashion_bolsas_e_acessorios,4.14,5744
beleza_saude,4.13,27116
cool_stuff,4.13,10612
sinalizacao_e_seguranca,4.12,520
instrumentos_musicais,4.12,2044
esporte_lazer,4.11,24244
musica,4.10,116
construcao_ferramentas_iluminacao,4.08,840
artigos_de_natal,4.08,424
consoles_games,4.07,3244
utilidades_domesticas,4.06,19604
automotivo,4.06,12000
eletrodomesticos_2,4.04,700
climatizacao,4.04,896
construcao_ferramentas_construcao,4.04,2664
dvds_blu_ray,4.02,208
eletronicos,4.02,7856
ferramentas_jardim,4.02,12156
agro_industria_e_comercio,4.00,580
bebes,3.99,8716
industria_comercio_e_negocios,3.98,768
relogios_presentes,3.98,17072
artes,3.97,584
tablets_impressao_imagem,3.96,188
fashion_underwear_e_moda_praia,3.95,308
casa_construcao,3.95,1684
market_place,3.95,912
moveis_sala,3.95,1400
bebidas,3.95,1032
telefonia,3.95,12676
informatica_acessorios,3.94,22076
construcao_ferramentas_seguranca,3.94,608
casa_conforto,3.92,1212
moveis_cozinha_area_de_servico_jantar_e_jardim,3.92,824
cama_mesa_banho,3.90,31540
moveis_colchao_e_estofado,3.89,112
moveis_decoracao,3.89,23128
la_cuisine,3.82,44
"",3.81,4496
artigos_de_festas,3.79,136
audio,3.79,992
portateis_cozinha_e_preparadores_de_alimentos,3.70,40
fashion_roupa_masculina,3.69,344
fashion_roupa_feminina,3.65,136
telefonia_fixa,3.61,748
casa_conforto_2,3.46,96
moveis_escritorio,3.46,4980
fraldas_higiene,2.76,84
