"product_category_name","avg_order_value"
pcs,1147.49
portateis_casa_forno_e_cafe,674.60
eletrodomesticos_2,511.73
agro_industria_e_comercio,369.92
instrumentos_musicais,310.58
portateis_cozinha_e_preparadores_de_alimentos,302.00
eletroportateis,301.08
telefonia_fixa,234.57
construcao_ferramentas_seguranca,232.26
moveis_quarto,226.98
relogios_presentes,215.79
moveis_cozinha_area_de_servico_jantar_e_jardim,208.30
climatizacao,207.11
moveis_escritorio,200.97
cool_stuff,186.04
pc_gamer,178.76
construcao_ferramentas_construcao,177.27
musica,176.97
construcao_ferramentas_ferramentas,174.12
industria_comercio_e_negocios,173.88
moveis_sala,171.81
la_cuisine,170.61
seguros_e_servicos,162.26
automotivo,161.70
moveis_colchao_e_estofado,159.59
casa_construcao,159.43
construcao_ferramentas_iluminacao,157.63
malas_acessorios,156.71
bebes,156.51
audio,155.40
casa_conforto,154.87
consoles_games,153.44
beleza_saude,149.19
sinalizacao_e_seguranca,141.08
artes,139.52
brinquedos,135.75
informatica_acessorios,135.10
ferramentas_jardim,132.88
perfumaria,132.69
esporte_lazer,132.64
construcao_ferramentas_jardim,130.53
pet_shop,130.26
"",128.62
artigos_de_festas,125.84
eletrodomesticos,123.74
cine_foto,112.89
cama_mesa_banho,111.86
utilidades_domesticas,111.61
papelaria,109.32
market_place,108.57
fashion_calcados,108.23
moveis_decoracao,107.88
tablets_impressao_imagem,105.48
livros_interesse_geral,100.90
fashion_roupa_masculina,100.12
dvds_blu_ray,94.59
fashion_esporte,91.64
artes_e_artesanato,91.01
fashion_bolsas_e_acessorios,90.62
livros_importados,90.37
fashion_underwear_e_moda_praia,87.87
livros_tecnicos,87.08
telefonia,85.60
fashion_roupa_infanto_juvenil,85.52
artigos_de_natal,79.53
bebidas,74.71
eletronicos,73.55
alimentos_bebidas,71.89
alimentos,71.73
fashion_roupa_feminina,71.52
cds_dvds_musicais,68.21
fraldas_higiene,55.30
flores,48.45
casa_conforto_2,39.02
